workspace_name,domain_name,domain_pool_status,total_inboxes,dead_count,alive_count,alive_connected,alive_disconnected,dead_connected,dead_disconnected,last_killed_date,last_alive_date,subscription_cancel_eligible
Search Atlas,conquersearchatlas.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Selery,alignselery.com,live,3,3,0,0,0,3,0,2026-04-24,,True
Selery,launchselery.com,live,3,3,0,0,0,0,3,2026-03-17,,True
Selery,doselery.com,burned,51,11,40,40,0,11,0,2026-04-28,2026-04-30,False
Selery,steerselery.com,burned,51,10,41,41,0,10,0,2026-04-22,2026-04-30,False
Selery,beginselery.com,burned,52,8,44,44,0,8,0,2026-04-21,2026-04-30,False
Selery,unifyselery.com,live,51,6,45,45,0,6,0,2026-04-29,2026-04-30,False
Selery,startselery.com,live,52,6,46,46,0,6,0,2026-04-17,2026-04-30,False
Selery,fixselery.com,live,52,6,46,46,0,6,0,2026-04-22,2026-04-30,False
Selery,loveselery.com,live,52,6,46,46,0,6,0,2026-04-22,2026-04-30,False
Selery,swiftselery.com,burned,51,6,45,45,0,6,0,2026-04-21,2026-04-30,False
Selery,getselery.com,burned,51,5,46,46,0,5,0,2026-04-17,2026-04-30,False
Selery,enableselery.com,live,52,5,47,47,0,5,0,2026-04-21,2026-04-30,False
Selery,chooseselery.com,live,52,5,47,47,0,5,0,2026-04-22,2026-04-30,False
Selery,nextselery.com,burned,51,3,48,48,0,3,0,2026-04-17,2026-04-30,False
Selery,boostselery.com,live,3,2,1,0,1,0,2,2026-03-12,2026-04-30,False
Selery,fulfillselery.com,live,3,2,1,0,1,0,2,2026-03-12,2026-04-30,False
Selery,growselery.com,live,3,2,1,0,1,0,2,2026-04-20,2026-04-30,False
Selery,shipselery.com,live,3,1,2,0,2,0,1,2026-03-17,2026-04-30,False
Selery,syncselery.com,reserve,3,1,2,2,0,1,0,2026-04-20,2026-04-30,False
Selery,convertselery.com,reserve,3,1,2,2,0,1,0,2026-04-19,2026-04-30,False
Selery,carrieselery.com,reserve,3,1,2,2,0,1,0,2026-04-23,2026-04-30,False
Selery,useselery.com,live,3,1,2,0,2,0,1,2026-03-09,2026-04-30,False
Selery,stackselery.com,live,3,1,2,0,2,0,1,2026-03-09,2026-04-30,False
Selery,primeselery.com,live,3,1,2,2,0,1,0,2026-04-22,2026-04-30,False
Selery,eliteselery.com,live,3,1,2,0,2,0,1,2026-03-09,2026-04-30,False
Selery,sendselery.com,live,3,1,2,0,2,0,1,2026-03-13,2026-04-30,False
Selery,flowselery.com,live,3,1,2,0,2,0,1,2026-03-12,2026-04-30,False
Selery,routeselery.com,live,3,1,2,0,2,0,1,2026-03-09,2026-04-30,False
Selery,deliverselery.com,live,3,1,2,2,0,1,0,2026-04-17,2026-04-30,False
Selery,moveselery.com,live,3,1,2,0,2,0,1,2026-03-12,2026-04-30,False
Selery,accelerateselery.com,reserve,2,1,1,1,0,1,0,2026-04-19,2026-04-30,False
Selery,dispatchselery.com,live,3,1,2,0,2,0,1,2026-03-11,2026-04-30,False
